roles,companies,locations,experience,skills,Dates,PresentDate,salary
Production Associate,Flex,Bengaluru,2-4 Yrs,Health insuranceData validationBaanVLOOKUPDiversity and InclusionShop floorFlexMonitoring,5 Days Ago,24-11-2024,Not disclosed
Customer Happiness Ambassador,DECATHLON Sports,Mumbai,0-2 Yrs,Conflict managementContinuous improvementService qualityConflictManagementQualityImprovement,6 Days Ago,24-11-2024,Not disclosed
Cyber Sec Archt/Engr I,Honeywell,"Greater Noida, Bengaluru",1-2 Yrs,C++PowershellOWASPJavascriptSecurity testingSecurity servicesPythonPenetration testing,3 Days Ago,24-11-2024,Not disclosed
Range Chef,2coms,Mumbai,0-5 Yrs,continentalbanquetswastage controlisofast foodfood productionrestaurantitalian,5 Days Ago,24-11-2024,1-2 Lacs PA
Sr. Finance Systems Analyst,Honeywell,Bengaluru,3-5 Yrs,Business administrationData analysisERPExcelData managementFinancial analysisProject coordinationMergers and acquisitions,4 Days Ago,24-11-2024,Not disclosed
HR Manager - The Resort - Malad West,K Raheja Corp,Mumbai,8-10 Yrs,Industrial RelationsEmployee RelationsTalent AcquisitionGrievance HandlingIREmployee WelfarePerformance AppraisalRelationship,2 Days Ago,24-11-2024,Not disclosed
Systems Engr II,Honeywell,"Greater Noida, Bengaluru",2-5 Yrs,HVACAutomationSystem engineeringFront endFunctional testingProgrammingInstrumentationEngineering Design,4 Days Ago,24-11-2024,Not disclosed
Business Development Manager,HERITAGE FOODS LIMITED,"Thane, Mumbai (All Areas)",7-12 Yrs,Business Development ManagementNew Business DevelopmentSales DevelopmentBdmFMCG SalesGeneral TradeSalesManagement,2 Days Ago,24-11-2024,Not disclosed
"Assistant Manager, DCC Operations",Hsbc,Mumbai,3-4 Yrs,Service levelExcelOperational riskTime managementClient servicingBankingCapital marketMS Office,2 Days Ago,24-11-2024,Not disclosed
Audit Manager,Hsbc,Mumbai,3-11 Yrs,Manager Internal AuditInterpersonal skillsCisaAnalyticalAnti money launderingBankingRisk managementAuditing,2 Days Ago,24-11-2024,Not disclosed
Project Mgmt Specialist II,Honeywell,"Greater Noida, Bengaluru",4-7 Yrs,Analytical skillsPMPManager Quality AssuranceMS projectProject managementAnalyticalProject planningManager Quality Control,4 Days Ago,24-11-2024,Not disclosed
SR R&D/PRODUCT DVL ENGINEER,TE Connectivity India,Bengaluru,5-12 Yrs,FabricationPrototypeSwitchgearDesign reviewValue engineeringPackagingProduct designEngineering Design,5 Days Ago,24-11-2024,Not disclosed
Advanced Embedded Engr,Honeywell,"Greater Noida, Bengaluru",5-14 Yrs,Communication protocolsTesting toolsSystem integrationEthernetPerformance testingScrumSensorsTroubleshooting,3 Days Ago,24-11-2024,Not disclosed
Sr Advanced Embedded Engr,Honeywell,"Greater Noida, Bengaluru",10-15 Yrs,GraphicsAerospaceCodingArchitectural designAgileSoftware development life cycleApplication developmentCompetitive intelligence,3 Days Ago,24-11-2024,Not disclosed
Sr IT Architect,Honeywell,"Greater Noida, Bengaluru",7-13 Yrs,SAP ERPSAPWeb servicesCloudSoftware development life cycleCommerceTroubleshootingInformation technology,3 Days Ago,24-11-2024,Not disclosed
Elite Sales Ambassador For Luxury Brand (Bangalore),2coms,Bengaluru,1-6 Yrs,showroomretail operationsbrandingcustomer serviceinterpersonal skillsretail salesapparelsales,4 Days Ago,24-11-2024,7-17 Lacs PA
Business Intelligence Leader,DECATHLON Sports,Bengaluru,1-5 Yrs,DrillingtableauData modelingAnalyticalpower biE-commercedata visualizationBusiness intelligence,6 Days Ago,24-11-2024,Not disclosed
