roles,companies,locations,experience,skills,Dates,PresentDate,salary
Senior Project Manager,Hitachi Energy,"Chennai, Bengaluru",3-5 Yrs,ProcurementBusiness processAdministrationProject managementProcess improvementProject planningBusiness strategyUser acceptance testing,5 Days Ago,24-11-2024,Not disclosed
Automation Software Engineer,Hitachi Energy,Bengaluru,2-5 Yrs,Object oriented designAdministrationAutomationDiagnosticsData modelingJavascriptWeavingAgile methodology,5 Days Ago,24-11-2024,Not disclosed
Design Engineer - Off role Position - Bangalore,energy storage products and services,Bengaluru,8-13 Yrs,AutoCADCatiaSolidedgeCreoSolidworksProeInventorSolid works,5 Days Ago,24-11-2024,Not disclosed
System Engineer,Larsen & Toubro (L&T),Bengaluru,7-12 Yrs,FmeaTraceability MatrixMedical DevicesRisk ManagementCapaRisk AnalysisHazard AnalysisSystem engineering,5 Days Ago,24-11-2024,Not disclosed
Hardware Design Engineer,Larsen & Toubro (L&T),"Mysuru, Bengaluru",7-12 Yrs,AnalogMixed SignalHigh Speed DesignDigital DesignPDLCDigitalDesign engineeringSignalling,4 Days Ago,24-11-2024,Not disclosed
It Infrastructure Specialist/ Subject Matter Expert,Yokogawa,Bangalore/Bengaluru,8-13 Yrs,Virtual MachinesServeritil frameworkActive DirectoryMS365StorageSAASPAAS,3 Days Ago,24-11-2024,Not disclosed
Sr. Research Associate II,Jubilant Enpro (jubilant),Noida,3-7 Yrs,Medicinal chemistryResearch Associate IIPharmaclinical developmentOncologyLife sciencesBiologyinformatics,2 Days Ago,24-11-2024,Not disclosed
Research Scientist,Jubilant Enpro (jubilant),Noida,4-8 Yrs,Medicinal chemistryPharmaclinical developmentOncologyCNSLife sciencesBiologyinformatics,2 Days Ago,24-11-2024,Not disclosed
R&D Engineer - Control Development - IDC,Hitachi Energy,Chennai,2-10 Yrs,Software designUsageSimulationControl systemIntegration testingManager TechnologyPower electronicsSimulink,2 Days Ago,24-11-2024,Not disclosed
Sr Manager - Company Secretary (Shares & Secretarial),Jubilant Enpro (jubilant),Noida,6-11 Yrs,AdministrationCompany SecretaryCorporate actionsCorporate governanceAerospacePharmaConsultingROC,3 Days Ago,24-11-2024,Not disclosed
System Design & Study Engineer,Hitachi Energy,Chennai,1-10 Yrs,ProcurementProduct managementSimulationProject managementSingle line diagramValvesSystem designPower electronics,3 Days Ago,24-11-2024,Not disclosed
Senior Engineer,Textron,Bengaluru,5-11 Yrs,CATIASolid modelingAviationTime managementProduct portfolioCADFinite element analysisCustomer service,5 Days Ago,24-11-2024,Not disclosed
Trainee Chemist,Jubilant Enpro (jubilant),Nanjangud,1-3 Yrs,Production ChemistAccessoriesSolvent recoveryPharmaConsultingOncologyLife sciencesPCM,5 Days Ago,24-11-2024,Not disclosed
Research Scientist-Synthesis-Jubilant Biosys,Jubilant Enpro (jubilant),Noida,1-5 Yrs,toxicologyCROOrganic chemistryComputational chemistryMedicinal chemistryQuality systemsclinical developmentHealthcare,5 Days Ago,24-11-2024,Not disclosed
R&D Engineer,Hitachi Energy,Chennai,2-7 Yrs,SubstationAutomationCommunication protocolsSimulationProtection systemSASControl systemTest cases,5 Days Ago,24-11-2024,Not disclosed
Junior Office Assistant (MAA),Emirates,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-2 Yrs,SupervisorAdministrationBasicFocusOffice administrationHardwareManagementData entry,2 Days Ago,24-11-2024,Not disclosed
Assistant Manager,Address Advisors,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-6 Yrs,Service deliveryAnalytical skillsDue diligenceExcelNetworkingClient servicingcorporate real estateLeasing,2 Days Ago,24-11-2024,Not disclosed
Digital Marketing Specialist,Address Advisors,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-7 Yrs,Data analysisGoogle AnalyticsCampaign managementEmail marketingSocial mediaCustomer retentionSEMSEO,2 Days Ago,24-11-2024,Not disclosed
Pro Design Developer,Hitachi Energy,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-7 Yrs,ProcurementGISTelecomSystem testingSAPSwitchgearProject managementCAD,9 Days Ago,24-11-2024,Not disclosed
Associate Project Engineer,Hitachi Energy,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,ProcurementGISSubstationSystem testingSAPProject managementSingle line diagramCAD,9 Days Ago,24-11-2024,Not disclosed
Marine Superintendent,Bernhard Schulte Shipmanagement India,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-7 Yrs,Cargooperational supportClaimsmarine superintendentMaritimeRisk assessmentRelationshipManagement,10 Days Ago,24-11-2024,Not disclosed
Application / Client Service Manager (SAP TM),A.P. Moller Maersk,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",8-13 Yrs,Service DeliverySAP TMSAP applicationsClient Service ManagementSAP applicationApplicationDeliveryManagement,8 Days Ago,24-11-2024,18-30 Lacs PA
Trainee - Accounts Officer,Bernhard Schulte Shipmanagement India,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",0-3 Yrs,TallyService taxTDSBank reconciliationMaritimeAccountingAccountant TraineeStatutory compliance,29 Days Ago,24-11-2024,Not disclosed
Buyer II,Worleyparsons,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",5-10 Yrs,erprequisitionprocurementwritingbuyer activitiespurchase orderpurchase processOrder fulfillment,4 Days Ago,24-11-2024,Not disclosed
SENIOR ENGINEER-CONNECTIVITY STACK&MW,Sasken Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",2-5 Yrs,RTOSC++LinuxCodingUSBEthernetFirmwareMiddleware,30+ Days Ago,24-11-2024,Not disclosed
LEAD ENGINEER - APP F/W&MW-ANDROID,Sasken Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-14 Yrs,System architectureCore JavaC++UsageOOPSDebuggingGTSLog analysis,30+ Days Ago,24-11-2024,Not disclosed
SENIOR ENGINEER - FULL STACK DEV,Sasken Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-5 Yrs,LinuxJBossXMLMySQLPHPJDBCWindowsWCF,30+ Days Ago,24-11-2024,Not disclosed
LEAD ENGINEER - FULL STACK DEV,Sasken Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",6-7 Yrs,LinuxJBossXMLMySQLPHPJDBCWindowsWCF,30+ Days Ago,24-11-2024,Not disclosed
PRINCIPAL ENGINEER-KERNEL&DRIVER-LINUX,Sasken Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-10 Yrs,GITTest strategyPower managementLinux kernelEmbedded LinuxX86High level designRFP,30+ Days Ago,24-11-2024,Not disclosed
Billing Executive,Admiral Hitech Logistics,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-3 Yrs,Billing ExecutiveBillingDatabaseManagementMS OfficedebitAccounts receivableLogistics,30+ Days Ago,24-11-2024,Not disclosed
Senior Executive-Field,Admiral Hitech Logistics,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-6 Yrs,Service contractsSalesSenior ExecutiveCustomer serviceManagementFreight forwardingRevenue generationMS Office,30+ Days Ago,24-11-2024,Not disclosed
Executive Assistant To MD,Admiral Hitech Logistics,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-4 Yrs,Head Business DevelopmentExcelBusiness reportingMS OutlookSchedulingMS WordRepresentativeManagement,30+ Days Ago,24-11-2024,Not disclosed
Project - In-Charge / Assistant Manager,Akshaya Patra Foundation,"Bihariganj, Kakinada, Pune",4-9 Yrs,Site ManagementMechanical Electrical PlumbingMEPSite OperationsOperationsManagementSite OperationAssistance,1 Day Ago,24-11-2024,Not disclosed
Software Developer (PI/PO CPI Integration),A.P. Moller Maersk,"Hybrid - Pune, Chennai, Bengaluru",4-7 Yrs,groovyjavaSap Pi PoSap CpiSAP PIPI IntegrationSAPPI,2 Days Ago,24-11-2024,10-18 Lacs PA
O&M Professional,M/S. Gewis Renewpower,"Pune, Baner",1-3 Yrs,maintenancebreakdown maintenancepreventive maintenanceContract Managementspare parts managementWMSSCADAM,1 Day Ago,24-11-2024,Not disclosed
Assistant Manager- Manufacturing,GE Aerospace,Pune,5-8 Yrs,Plant managementCostingPrototypeManufacturing processAnalyticalAgileNew product developmentContinuous improvement,1 Day Ago,24-11-2024,Not disclosed
Customer Service Executive,Xpressbees,Pune,25 Nov - 29 Nov,Voice ProcessDomestic BPOOutbound ProcessVoiceCustomer serviceProcessDomesticBPO,1 Day Ago,24-11-2024,1-3 Lacs PA
Job Opening || Design Control || Wipro Pari || Shirwal/ Pune,Wipro PARI,Pune(Shirwal),5-9 Yrs,power distribution architectureMicrosoft visioNetwork ArchitectureHMIservo packagePLCIO cardsCustomer Interface,1 Day Ago,24-11-2024,Not disclosed
