roles,companies,locations,experience,skills,Dates,PresentDate,salary
Sr.Accountant,DC Consultants,Mumbai,4-9 Yrs,TallyExcelBank reconciliationTally ERPCustomer satisfactionDirectorAccount managementVendor,30+ Days Ago,23-11-2024,Not disclosed
Sr. Sales Executive/ Asst. Sales Manager,DC Consultants,Mumbai,1-5 Yrs,RetailSalesManager TechnologyCorporate affairsPHPSEMHTMLSales Executive,30+ Days Ago,23-11-2024,Not disclosed
Sourcing Manager,DC Consultants,Navi Mumbai,2-7 Yrs,PPCMISCustomer supportSEMSEODigital marketingCateringWholesale,30+ Days Ago,23-11-2024,Not disclosed
Senior Manager,DC Consultants,Mumbai,7-8 Yrs,Executive TechnologyAfter sales serviceProduction ExecutiveFinanceMutual fundsInstitutional salesRevenue managementAccounts Executive,30+ Days Ago,23-11-2024,Not disclosed
Senior Java Developer,DC Consultants,"Mumbai, Navi Mumbai",7-10 Yrs,WordpressSocial networkingPHPHTMLSEMJ2EeSEOGaming,30+ Days Ago,23-11-2024,Not disclosed
Senior Customer Support Executive,DC Consultants,"Mumbai, Navi Mumbai",2-7 Yrs,Executive TechnologyExecutiveCustomer satisfactionProduction ExecutiveClient coordinationConsumer insightsCustomer supportInformation research,30+ Days Ago,23-11-2024,Not disclosed
Senior Accountant,DC Consultants,Mumbai,5-10 Yrs,TallyTDSERPIncome taxMISSales taxReconciliationFinancial planning,30+ Days Ago,23-11-2024,Not disclosed
Sales Manager,DC Consultants,Mumbai,4-6 Yrs,Administrator SupportSalesQuery resolutionLeasingPHPBusiness managementHTMLSales Coordinator,30+ Days Ago,23-11-2024,Not disclosed
Sales Co - Ordinator,DC Consultants,Mumbai,1-6 Yrs,TelecomSalesData managementMISMutual fundsSMSSEMFMCG,30+ Days Ago,23-11-2024,Not disclosed
Sales & Marketing Manager,DC Consultants,Mumbai,5-8 Yrs,EVAChemicalPenetrationSalesResinCorporateManager Sales & MarketingManagement,30+ Days Ago,23-11-2024,Not disclosed
Production Officer,DC Consultants,Mumbai,1-5 Yrs,HDPEGISProduction planningProduction ExecutiveQuality inspectionBrand marketingResource planningMachinery,30+ Days Ago,23-11-2024,Not disclosed
Presales Executive,DC Consultants,Mumbai,2-7 Yrs,OutboundProject salesPre Sales ExecutiveBrand marketingPresalesCustomer supportBudgetingManagement,30+ Days Ago,23-11-2024,Not disclosed
PLC / HMI Programmer,DC Consultants,Navi Mumbai,2-5 Yrs,Electrical designAnalyticalPLCWinCCSEMSensorsControl panelMS Office,30+ Days Ago,23-11-2024,Not disclosed
