roles,companies,locations,experience,skills,Dates,PresentDate,salary
Senior Industrial Engineer,Schneider Electric,Bengaluru,3-6 Yrs,Data analysisLean manufacturingAutoCADManufacturing processProduction planningProcess improvementAgileIndustrial engineering,6 Days Ago,24-11-2024,Not disclosed
Chapter Leader-Product Architects,Schneider Electric,Bengaluru,6-10 Yrs,Solution architectureSystem architectureChange managementSimulationSwitchgearelectromechanicalMechanicalthermal,6 Days Ago,24-11-2024,Not disclosed
Project Manager,Schneider Electric,Bengaluru,2-18 Yrs,Product managementProject developmentDesign engineeringChange managementInterpersonal skillsAgileAnimationScrum,6 Days Ago,24-11-2024,Not disclosed
"Sr Manager EHS, Labor & Ethics Suppliers Auditor",Schneider Electric,Bengaluru,4-8 Yrs,AuditorEHSAction planProject coordinationDeploymentProcurement managementSchedulingElectricals,6 Days Ago,24-11-2024,Not disclosed
"Senior Manager , Strategy & Governance",Schneider Electric,Bengaluru,3-8 Yrs,Stakeholder EngagementAutomationOperational excellenceProject managementdigital strategyStakeholder managementInformation technologyOperations,6 Days Ago,24-11-2024,Not disclosed
Sr. Manager - BMS Tendering,Schneider Electric,Bengaluru,3-5 Yrs,HVACCostingSalesProject managementSOCEPCInstrumentationRFQ,6 Days Ago,24-11-2024,Not disclosed
"Lead, HR Systems Analyst",Schneider Electric,Bengaluru,4-7 Yrs,Cloud computingAutomationEnterprise applicationsProject managementJavascriptAgileHTMLOracle,6 Days Ago,24-11-2024,Not disclosed
"Senior, Data Platforms Engineer",Schneider Electric,Bengaluru,2-3 Yrs,Linuxdata securityData processingData qualityBusiness intelligenceTechnical supportAnalyticsMonitoring,6 Days Ago,24-11-2024,Not disclosed
Product Owner - Battery,Schneider Electric,Bengaluru,8-14 Yrs,Product managementSupply chainPLMTradeProject developmentBusiness modelingBudgetingCost,6 Days Ago,24-11-2024,Not disclosed
Devops Embedded Lead,Schneider Electric,Bengaluru,9-16 Yrs,continuous integrationgithubC++project supportConfiguration managementEclipseSVNPerl,6 Days Ago,24-11-2024,Not disclosed
Program Specialist,Caterpillar Inc,Bengaluru,3-5 Yrs,Change managementTeam managementProject managementAnalyticalAgileContinuous improvementOperationsSDLC,6 Days Ago,24-11-2024,Not disclosed
Trainee Engineer Operator,A client of Randstad,Bengaluru,0-2 Yrs,Machine OperatingAutomobileProductionAssemblyMachineOperatingTraining,14 Days Ago,24-11-2024,2.25-2.5 Lacs PA
Lead Software Architect,Permanent position,Bengaluru,16-20 Yrs,Embedded CArchitectLinux InternalsC++MultithreadingDesign PatternsLinux KernelKernel,4 Days Ago,24-11-2024,Not disclosed
Sr. Engineer- ETO Tools and Analytics,Schneider Electric,Vadodara,4-6 Yrs,global operationsWeb application developmentJavascript.NetHTMLMVCJIRAContinuous improvement,6 Days Ago,24-11-2024,Not disclosed
Sr BI Engineer- ETO Smart & Analytics,Schneider Electric,Vadodara,3-6 Yrs,global operationsSimulationNeural networksMachine learningData analyticsNatural language processingInformation technologydigital transformation,6 Days Ago,24-11-2024,Not disclosed
Lineman,Arvind Manpower Solutions,"Kolkata, Hyderabad, Pune, Ahmedabad, Chennai, Bengaluru, Delhi / NCR, Mumbai (All Areas), india",2-7 Yrs,Lineman ActivitiesCable LayingTransmission,1 Day Ago,24-11-2024,1-2.75 Lacs PA
Technical Architect,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",12-14 Yrs,PLMComputer scienceProcess optimizationSimulationDigital designManufacturing processProcess planningGCP,12 Days Ago,24-11-2024,Not disclosed
Marketing Executive,Star Laser Technology,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-2 Yrs,Executive Sales & MarketingSalesElectronicsMarketing ExecutiveSales executive activitiesMarketing,30+ Days Ago,24-11-2024,Not disclosed
Specialist,HINDALCO INDUSTRIES LIMITED,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",1-7 Yrs,Data managementComplianceMaster data managementdata governanceData qualitydata integrityOperationsCivil engineering,3 Days Ago,24-11-2024,Not disclosed
Specialist,HINDALCO INDUSTRIES LIMITED,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",1-7 Yrs,ExcelCADManager TechnologyProduction ManagerWindowsTechnical supportAuditingTechnical,3 Days Ago,24-11-2024,Not disclosed
Manager,HINDALCO INDUSTRIES LIMITED,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",3-5 Yrs,Due diligenceStrategic partnershipsLitigationLegalTeam developmentProcess developmentM&ALegal documentation,3 Days Ago,24-11-2024,Not disclosed
Manager,HINDALCO INDUSTRIES LIMITED,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",3-5 Yrs,Audit complianceLitigation managementRisk assessmentCompliance managementTeam developmentCost reductionAudit reportLegal documentation,3 Days Ago,24-11-2024,Not disclosed
Area Sales Manager,Mivaan Steels Limited (Wholly Subsidiary of JSW Steels Limited),"Pune, Ahmedabad, Mumbai (All Areas)",7-10 Yrs,Business DevelopmentBdArea Sales ManagementMarket DevelopmentSales DevelopmentChannel ManagementTerritory Sales ManagementMarketing,2 Days Ago,24-11-2024,9-11 Lacs PA
Assistant Officer,HINDALCO INDUSTRIES LIMITED,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",5-6 Yrs,CFDJoint PresidentAdministrationFront office operationsSalesComplianceMISSBU Head,4 Days Ago,24-11-2024,Not disclosed
Urgent Hiring // Automobile Technical Trainer // Mumbai & Pune,Cars24,"Pune, Mumbai (All Areas)",6-11 Yrs,automobileTechnical Trainingautomobile technical trainertechnical trainerTrainingtrainerHiringTechnical,9 Days Ago,24-11-2024,4-5 Lacs PA
Urgent Hiring - Executive/Sr. Executive Role - Wipro Pari,Wipro PARI,"Pune, Mumbai (All Areas)",2-6 Yrs,PLCSiemens PLCTia PortalAbbAllen Bradley PlcKukaHMIControl software,9 Days Ago,24-11-2024,3.5-8 Lacs PA
Business System Engineer,Avantor,Pune,7-9 Yrs,SAP ABAP developmentIDOCsRFCsLayouts SmartformsWebServicesBAPIsAdobe formsBADIs,1 Day Ago,24-11-2024,Not disclosed
Specialist Accounting,Avantor,Pune,4-6 Yrs,Accountingus gaapmedical devicessox complianceinternal controlfinancial reportingauditinginternal audit,2 Days Ago,24-11-2024,Not disclosed
Area Sales Manager- Biopharma,Avantor,Pune,5-8 Yrs,SalesArea sales managementsales strategysales planningsellingbusiness planningBiopharmaSales management,2 Days Ago,24-11-2024,Not disclosed
Ast. Mgr STA-Trims (AD CDMM),Automotive Mahindra,Pune,1-10 Yrs,STACostingSPCInspectionPPAPMSAPFCCost,1 Day Ago,24-11-2024,Not disclosed
Software Engineer,Cummins,Hybrid - Pune,6-10 Yrs,AdministrationMulesoftIntegrationSoftwareSoftware engineeringMule ESB,2 Days Ago,24-11-2024,Not disclosed
Administration and Facilities Executive,Tata AutoComp,Pune(Chakan),4-9 Yrs,SAPBudget ManagementHR AdministrationPlant AdministrationFacility ManagementNegotiationReport PreparationDocumentation,2 Days Ago,24-11-2024,5-6 Lacs PA
KAM CC Maharashtra,2coms,Pune,5-10 Yrs,coatingadmixtureproduct specificationconstruction chemicalscustomer complaintschannelsales strategybdm,2 Days Ago,24-11-2024,10-20 Lacs PA
Part In-charge LP QC (Shift Plant),Hyundai Motor,Pune(Talegaon Dabhade),4-8 Yrs,Rejection ManagementVehicle AsField QualityInspectionInline ManagementENGINE QUALITYQuality InspectionQuality,1 Day Ago,24-11-2024,6.5-12 Lacs PA
