roles,companies,locations,experience,skills,Dates,PresentDate,salary
Senior Cloud Security Consultant (GCP certification must),Excel Talent Plus,"Mumbai, Hyderabad, Gurugram",12-16 Yrs,Cloud SecurityGCPSecurity ImplementationGoogle Cloud Platform AdministrationCloudGoogleSeniorSecurity,1 Day Ago,23-11-2024,20-30 Lacs PA
Cyber Security Infrastructure Consultant (GCP certification must),Excel Talent Plus,"Mumbai, Hyderabad, Gurugram",6-11 Yrs,Cloud SecurityGCPNetwork SecurityLoad BalancingFirewallCloudSecurityConsulting,1 Day Ago,23-11-2024,12-18 Lacs PA
Corporate Account Manager,Adobe Systems India Pvt. Ltd.,"Mumbai, Bengaluru",5-8 Yrs,Digital mediaConsultative salesInvestment analysisSales strategyProduct innovationBusiness strategySales processCustomer experience,3 Days Ago,23-11-2024,Not disclosed
"ITGC || Bangalore,Mumbai,Gurgaon",PwC India,"Gurugram, Bengaluru, Mumbai (All Areas)",4-8 Yrs,ISO 27001Change ManagementBack and Recovery ManagementUser Access ManagementAccessManagementItgcChange,5 Days Ago,23-11-2024,Not disclosed
Multi Cloud Architect,PwC India,"Hyderabad, Bengaluru, Mumbai (All Areas)",7-12 Yrs,GCPCloud MigrationIacAWSContainerCloud SecurityCloud ArchitectureDevops,3 Days Ago,23-11-2024,Not disclosed
Senior Associate - Java 11 + Kafka,Cognizant,"Hybrid - Chennai, Bengaluru, Mumbai (All Areas)",7-11 Yrs,JavaKafkaSpring BootmicroservicesSeniorBootSpring,4 Days Ago,23-11-2024,13-16 Lacs PA
Associate - Java Full Stack Developer - Java with Angular (13-16+),Cognizant,"Chennai, Bengaluru, Mumbai (All Areas)",4-7 Yrs,MockitoJUnitAngular 13Spring BootMicroservicesCore Java ProgrammingJava DevelopmentFull Stack,5 Days Ago,23-11-2024,5-10 Lacs PA
Banking Solution Architect,Oakton GTSCI Pvt Ltdd,Mumbai,5-10 Yrs,Interpersonal skillsArchitectureTechnology consultingArtificial IntelligenceMS Office toolsBusiness strategyCapital marketFinancial services,1 Day Ago,23-11-2024,Not disclosed
Application Developer,Accenture,Mumbai,3-5 Yrs,restcontinuous integrationmulesoft anypointci/cdmockitojunitversion controlnosql,4 Days Ago,23-11-2024,Not disclosed
Workday Integration Studio,2coms,Mumbai,5-10 Yrs,workday integrationrestworkday functionalworkdayanalyticalweb servicescustom reportsbirt,6 Days Ago,23-11-2024,Not disclosed
ATCi - IX - Application Developer - Associate,Accenture,Bengaluru,0-2 Yrs,catiavb scriptproduct qualityvisual basicapirestDiversity awarenesscss,Today,23-11-2024,Not disclosed
Industry X - Technical Publication - AMM - 12,Accenture,Bengaluru,0-2 Yrs,aircraftairworthinesssystems1000dcommunication skillstechnical writingcmmsap,Today,23-11-2024,Not disclosed
Industry X - Technical Publication - AMM - 12,Accenture,Bengaluru,0-2 Yrs,airworthinessatagidocas1000daircraft maintenancetechnical writingcmmsap,Today,23-11-2024,Not disclosed
ATCi - IX - Application Developer - Associate,Accenture,Bengaluru,0-2 Yrs,catiavb scriptproduct qualityvisual basicapic#restcss,Today,23-11-2024,Not disclosed
Industry X - Technical Publication - Automotive - Parts Catalogue - 12,Accenture,Bengaluru,0-2 Yrs,technical writingarbortext epic editorecntechnical publicationtechnical documentationcmmproject managementsap,Today,23-11-2024,Not disclosed
Industry X - Technical Publication - WDM - 12,Accenture,Bengaluru,0-2 Yrs,repairairworthinessimpact analysisengineering designaircraft maintenancemaintenance engineeringmaintenance planningavionics,Today,23-11-2024,Not disclosed
Industry X - Technical Publication - CMM - 12,Accenture,Bengaluru,0-2 Yrs,airworthinessataedps1000daircraft maintenancetechnical writingcmmsap,Today,23-11-2024,Not disclosed
ATCi - IX - Application Developer - Associate,Accenture,Bengaluru,0-2 Yrs,c#catiavb scriptproduct qualityvisual basicrestcssc++,Today,23-11-2024,Not disclosed
ATCi - IX - Application Developer - Associate,Accenture,Bengaluru,0-2 Yrs,problem solvingcatiaproduct qualitydesignvisual basicc#restcustomization,Today,23-11-2024,Not disclosed
ATCi - IX - Application Developer - Associate,Accenture,Bengaluru,0-2 Yrs,catiavb scriptproduct qualityvisual basicapirestcssc++,Today,23-11-2024,Not disclosed
Industry X - Technical Publication - AMM - 12,Accenture,Bengaluru,0-2 Yrs,productionmanpower handlingmanufacturingproduction planningproduction supervisingquality controlmechanical engineeringwarehouse operations,Today,23-11-2024,Not disclosed
