roles,companies,locations,experience,skills,salary,industry,experience_cleaned,min_experience,max_experience,min_salary,max_salary,is_salary_disclosed,avg_salary,days_ago,posting_date,job_age_days,seniority_level,is_remote,is_high_salary
urgent opening   sales officer   mangalore   jyothy labs limited,Jyothy Labs,Mangaluru,3-8 Yrs,Secondary SalesGeneral TradeFMCGNegotiationSelling SkillsChannel DistributionPrimary SalesRural Sales,4-5.5 Lacs PA,Consumer Retail & Hospitality,3-8,3,8,4.0,5.5,True,4.75,25.0,2024-10-30,31.0,Mid,False,False
urgent opening   sales officer   guntur hq   jyothy labs limited,Jyothy Labs,Guntur,3-8 Yrs,Secondary SalesGeneral TradeFMCGNegotiationSelling SkillsChannel DistributionPrimary SalesRural Sales,4-5.5 Lacs PA,Consumer Retail & Hospitality,3-8,3,8,4.0,5.5,True,4.75,25.0,2024-10-30,31.0,Mid,False,False
urgent opening   sales officer   kurnool   jyothy labs limited,Jyothy Labs,Kurnool,3-8 Yrs,Secondary SalesGeneral TradeFMCGNegotiationSelling SkillsChannel DistributionPrimary SalesRural Sales,4-5.5 Lacs PA,Consumer Retail & Hospitality,3-8,3,8,4.0,5.5,True,4.75,25.0,2024-10-30,31.0,Mid,False,False
assistant restaurant manager,Sapphire Foods,Gurugram,1-2 Yrs,QSRHospitalityHotel ManagementPNLShift ManagementFood CostingWastage ControlHotel,3-3.25 Lacs PA,Consumer Retail & Hospitality,1-2,1,2,3.0,3.25,True,3.125,25.0,2024-10-30,31.0,Entry,False,False
accounts assistant   imphal (manipur),Amul,Imphal,2-4 Yrs,AccountancySAP FICOGst ReturnSAPFICOAssistanceGstAccounting,5-6 Lacs PA,Consumer Retail & Hospitality,2-4,2,4,5.0,6.0,True,5.5,25.0,2024-10-30,31.0,Entry,False,False
gm corp business hr  fmcg mnc  bangalore,Mnc Group,Bengaluru,15-20 Yrs,Strategic HRCorporate HRHR OperationsBusiness HRPerformance Management SystemPerformanceHrsdOperations,60-70 Lacs PA,Consumer Retail & Hospitality,15-20,15,20,60.0,70.0,True,65.0,25.0,2024-10-30,31.0,Senior,False,True
travel consultant,Dream Big Travel Tours,Mohali(Sas Nagar),0-5 Yrs,Travel SalesTicketingTravel ProcessGalileoAir TicketingAmadeusConsultingTravel,3-6 Lacs PA,Consumer Retail & Hospitality,0-5,0,5,3.0,6.0,True,4.5,9.0,2024-11-15,15.0,Entry,False,False
environmental health and safety manager,Client Of Sampark,Manesar,10-15 Yrs,EHSHSE ManagementEHS ManagementHSEEhs ComplianceOHSAS 18001Environment Health SafetyFire Safety,10-15 Lacs PA,Consumer Retail & Hospitality,10-15,10,15,10.0,15.0,True,12.5,14.0,2024-11-10,20.0,Senior,False,True
environmental health and safety manager,Client Of Sampark,Delhi / NCR,10-15 Yrs,EHSHSE ManagementEHS ManagementHSEEhs ComplianceOHSAS 18001Environment Health SafetyFire Safety,10-15 Lacs PA,Consumer Retail & Hospitality,10-15,10,15,10.0,15.0,True,12.5,14.0,2024-11-10,20.0,Senior,False,True
chef de partie,Samyaras Den,Hyderabad,2-6 Yrs,Chef De Partie,Not disclosed,Consumer Retail & Hospitality,2-6,2,6,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
retail store manager,Retail,Kolkata,3-8 Yrs,Store operationsstore administrationStore inchargeRetail executivebusiness strategiesStore executivecounter salescustomer handling,Not disclosed,Consumer Retail & Hospitality,3-8,3,8,0.0,0.0,False,0.0,25.0,2024-10-30,31.0,Mid,False,False
field marketing executive,"Diversey Holdings, Ltd",Chennai,1-4 Yrs,B2B MarketingB2B SalesDirect MarketingField SalesField MarketingDirectB2BSales,2-3.25 Lacs PA,Consumer Retail & Hospitality,1-4,1,4,2.0,3.25,True,2.625,26.0,2024-10-29,32.0,Entry,False,False
manager   purchase   chemical (textile industry background),Gokaldas Exports,Bengaluru,12-15 Yrs,ChemicalCapexOpexPurchaseTextileManagementPurchase management,Not disclosed,Consumer Retail & Hospitality,12-15,12,15,0.0,0.0,False,0.0,26.0,2024-10-29,32.0,Senior,False,False
process executive   contract admin,Bunge,Mohali,1-3 Yrs,ProcurementContract ManagementSupply Chain ManagementMicrosoft OfficeCommercial TermsMicrosoftOfficeSupply,Not disclosed,Consumer Retail & Hospitality,1-3,1,3,0.0,0.0,False,0.0,26.0,2024-10-29,32.0,Entry,False,False
sap b1 executive,Hyfun Foods,Ahmedabad,2-7 Yrs,SAP ERP ImplementationCrystal ReportFunctional SupportHana DatabaseSAP Business OneTechnical SupportDocumentationFMS,Not disclosed,Consumer Retail & Hospitality,2-7,2,7,0.0,0.0,False,0.0,7.0,2024-11-17,13.0,Entry,False,False
urgent opening   sales officer   firozpur   jyothy labs ltd,Jyothy Labs,Firozpur,4-9 Yrs,General TradeNegotiationSelling SkillsChannel DistributionSecondary SalesPrimary SalesDistributor HandlingSales,4-7 Lacs PA,Consumer Retail & Hospitality,4-9,4,9,4.0,7.0,True,5.5,26.0,2024-10-29,32.0,Mid,False,False
urgent opening   sales officer   amritsar up country   jyothy labs ltd,Jyothy Labs,Amritsar,4-9 Yrs,General TradeNegotiationSelling SkillsChannel DistributionSecondary SalesPrimary SalesDistributor HandlingChannel,4-7 Lacs PA,Consumer Retail & Hospitality,4-9,4,9,4.0,7.0,True,5.5,26.0,2024-10-29,32.0,Mid,False,False
sales head,Sabari Group,Chennai(Nungambakkam),5-7 Yrs,Target AchievementSales StrategySales ManagementCorporate Tie-upsCollaborationBusiness StrategyCorporate StrategyLeadership,3.75-4.75 Lacs PA,Consumer Retail & Hospitality,5-7,5,7,3.75,4.75,True,4.25,4.0,2024-11-20,10.0,Mid,False,False
expert care executive,Notion Online Solutions,Noida(Sector-63 Noida),18 Nov - 27 Nov,Voice ProcessTelecallingCallingVoiceProcess,1-2 Lacs PA,Consumer Retail & Hospitality,18 Nov - 27 Nov,0,0,1.0,2.0,True,1.5,6.0,2024-11-18,12.0,Entry,False,False
operation executive,Notion Online Solutions,Noida,18 Nov - 27 Nov,Inbound Customer ServiceTelecallingTelemarketingOutbound CallingInboundCustomer serviceCallingOperations,2-3 Lacs PA,Consumer Retail & Hospitality,18 Nov - 27 Nov,0,0,2.0,3.0,True,2.5,6.0,2024-11-18,12.0,Entry,False,False
hiring area service incharge   kochi / cochin,Orient Electric,Kochi,4-9 Yrs,area service inchargeservice inchargeAfter Sales SupportAfter Sales ServiceField ServiceService OperationsService ManagementField,Not disclosed,Consumer Retail & Hospitality,4-9,4,9,0.0,0.0,False,0.0,19.0,2024-11-05,25.0,Mid,False,False
software development engineer i,Cleartrip,Bengaluru,1-3 Yrs,release managementsoftware developmentperformance testingsoftware designunit testingbackend developmentscalabilityestimation,Not disclosed,Consumer Retail & Hospitality,1-3,1,3,0.0,0.0,False,0.0,27.0,2024-10-28,33.0,Entry,False,False
industrial engineer (textile),H&M,Bengaluru,4-6 Yrs,Capacity managementAutomationCostingProduction planningAnalyticalProcess improvementManagementProductivity management,Not disclosed,Consumer Retail & Hospitality,4-6,4,6,0.0,0.0,False,0.0,27.0,2024-10-28,33.0,Mid,False,False
chief marketing officer,Rbz Jewellers,Ahmedabad(Bodakdev),10-15 Yrs,WholesaleRetailJewelleryB2BTeam Management SkillsDigital SalesDigital MarketingBranding,30-40 Lacs PA,Consumer Retail & Hospitality,10-15,10,15,30.0,40.0,True,35.0,3.0,2024-11-21,9.0,Senior,False,True
sales officer for fmcg company,Ssp Solutions,Bangalore Rural,3-8 Yrs,Modern TradeFMCG SalesGeneral TradePrimary SalesDistributor HandlingSecondary SalesDistributionSecondary,4.75-5 Lacs PA,Consumer Retail & Hospitality,3-8,3,8,4.75,5.0,True,4.875,27.0,2024-10-28,33.0,Mid,False,False
sales officer for fmcg company,Ssp Solutions,Bengaluru,3-8 Yrs,Modern TradeFMCG SalesGeneral TradePrimary SalesDistributor HandlingSecondary SalesDistributionSecondary,4.75-5 Lacs PA,Consumer Retail & Hospitality,3-8,3,8,4.75,5.0,True,4.875,27.0,2024-10-28,33.0,Mid,False,False
assistant manager   reporting & analytics,Pepsi Foods,Hyderabad,1-5 Yrs,EHSInterpersonal skillsSAPData managementAnalyticalFMCGContinuous improvementOperations,Not disclosed,Consumer Retail & Hospitality,1-5,1,5,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
