roles,companies,locations,experience,skills,salary,industry,experience_cleaned,min_experience,max_experience,min_salary,max_salary,is_salary_disclosed,avg_salary,days_ago,posting_date,job_age_days,seniority_level,is_remote,is_high_salary
sales support executive,Knowledge Park,Shirpur,3-5 Yrs,Lead generationSales Support ExecutiveSalesDeanSales supportGeneration,Not disclosed,Education,3-5,3,5,0.0,0.0,False,0.0,17.0,2024-11-07,23.0,Mid,False,False
sales support executive,Knowledge Park,Chandigarh,3-5 Yrs,Lead generationSales Support ExecutiveSalesDeanSales supportGeneration,Not disclosed,Education,3-5,3,5,0.0,0.0,False,0.0,17.0,2024-11-07,23.0,Mid,False,False
hr executive,Shrmsap,Imphal,3-4 Yrs,Recruitment ExecutiveInterpersonal skillsHR ExecutiveTalent acquisitionStaffingSocial mediaHR ProfessionalManagement,Not disclosed,Education,3-4,3,4,0.0,0.0,False,0.0,17.0,2024-11-07,23.0,Mid,False,False
hr executive,Shrmsap,Ahmedabad,3-4 Yrs,Recruitment ExecutiveInterpersonal skillsHR ExecutiveTalent acquisitionStaffingSocial mediaHR ProfessionalManagement,Not disclosed,Education,3-4,3,4,0.0,0.0,False,0.0,17.0,2024-11-07,23.0,Mid,False,False
software engineer i,Anthology Inc,Chennai,2-5 Yrs,Software designjQueryFront endCodingJavascriptAgileData structuresTroubleshooting,Not disclosed,Education,2-5,2,5,0.0,0.0,False,0.0,17.0,2024-11-07,23.0,Entry,False,False
senior software engineer i,Anthology Inc,Chennai,5-6 Yrs,Performance tuningCodingDebuggingJavascriptAgileScrumWCFTroubleshooting,Not disclosed,Education,5-6,5,6,0.0,0.0,False,0.0,17.0,2024-11-07,23.0,Mid,False,False
assistant professor corporate law,Mody University,Sikar,5-10 Yrs,legal researchlawllbprofessor activitieslegal documentationlawyer activitiesteachinglegal drafting,Not disclosed,Education,5-10,5,10,0.0,0.0,False,0.0,17.0,2024-11-07,23.0,Mid,False,False
assistant manager finance,Mody University,Sikar,2-5 Yrs,financial analysisforecastingauditingaccountinganalysisbudgetingaccounting standardsfiling,Not disclosed,Education,2-5,2,5,0.0,0.0,False,0.0,17.0,2024-11-07,23.0,Entry,False,False
faculty,Xylem Learning App,Kochi,1-5 Yrs,AdministrationNetwork administrationNetworkingResearchTeaching FacultyTeaching,Not disclosed,Education,1-5,1,5,0.0,0.0,False,0.0,17.0,2024-11-07,23.0,Entry,False,False
manager corporate relations,Amrita Vishwa Vidyapeetham,Kollam,2-7 Yrs,BiotechnologyBasicPDFQuality testingRelationshipCorporateLife sciencesResearch,Not disclosed,Education,2-7,2,7,0.0,0.0,False,0.0,17.0,2024-11-07,23.0,Entry,False,False
team lead   php developer,Coachingselect,Jaipur,2-6 Yrs,PHP Team LeadCore PHPTeamPHP DevelopmentTeam leadingDevelopmentPHPCore,Not disclosed,Education,2-6,2,6,0.0,0.0,False,0.0,17.0,2024-11-07,23.0,Entry,False,False
graphic designer,Coachingselect,Jaipur,1-3 Yrs,Graphic DesignerGraphic designingDesignGraphics,Not disclosed,Education,1-3,1,3,0.0,0.0,False,0.0,17.0,2024-11-07,23.0,Entry,False,False
sales collection executive,Henry Harvin Education,Noida(Sector-6 Noida),0-5 Yrs,Sales CollectionRecovery ServicesFees CollectionTarget AchievementEdtechEmailPayment CollectionDebt Collection,1.25-2.25 Lacs PA,Education,0-5,0,5,1.25,2.25,True,1.75,17.0,2024-11-07,23.0,Entry,False,False
tgt social science,Gurukul Teem School Dhokheda (Run By Shri Sanskar Shiksha Vikash Samiti ),Bhopal,0-5 Yrs,social sciencesstteachingHistorycbseTGTScience,1-3.5 Lacs PA,Education,0-5,0,5,1.0,3.5,True,2.25,17.0,2024-11-07,23.0,Entry,False,False
tgt social science,Gurukul Teem School Dhokheda (Run By Shri Sanskar Shiksha Vikash Samiti ),Howrah,0-5 Yrs,social sciencesstteachingHistorycbseTGTScience,1-3.5 Lacs PA,Education,0-5,0,5,1.0,3.5,True,2.25,17.0,2024-11-07,23.0,Entry,False,False
announcement for the post of communication and pr manager,Indian Institute Of Technology Madras (Iitm),Chennai,5-10 Yrs,Communication SkillsContent CreationPublic Relationssocial mediaEvent PromotionPublicContentEvents,Not disclosed,Education,5-10,5,10,0.0,0.0,False,0.0,17.0,2024-11-07,23.0,Mid,False,False
announcement for the post of manager hr,Indian Institute Of Technology Madras (Iitm),Chennai,4-9 Yrs,Employee RelationsPerformance ManagementOnboardingRecruitmentHuman resource managementPostManagementPerformance,8-12 Lacs PA,Education,4-9,4,9,8.0,12.0,True,10.0,17.0,2024-11-07,23.0,Mid,False,False
senior bda marathi,Nxtwave Disruptive Technologies,Hyderabad,1-4 Yrs,Effective CommunicationDecision MakingPresentation SkillsStudent EngagementDemo conductionConvincing AbilityObjection HandlingDemo,Not disclosed,Education,1-4,1,4,0.0,0.0,False,0.0,17.0,2024-11-07,23.0,Entry,False,False
senior admission counsellor  female,Arena Animation,Noida,3-8 Yrs,Admission CounsellingAdmissionsEducation CounselingStudent Counselingface to face counsellingEnrollmentCareer CounsellingSenior,Not disclosed,Education,3-8,3,8,0.0,0.0,False,0.0,17.0,2024-11-07,23.0,Mid,False,False
senior admission counsellor  female,Arena Animation,New Delhi,3-8 Yrs,Admission CounsellingAdmissionsEducation CounselingStudent Counselingface to face counsellingEnrollmentCareer CounsellingSenior,Not disclosed,Education,3-8,3,8,0.0,0.0,False,0.0,17.0,2024-11-07,23.0,Mid,False,False
cinematographer,School For European Pastry,Gurugram(Udyog Vihar Phase 5),2-5 Yrs,product photoshootVideographyCinematographyEditingphotographerPhotoshootPhotography,3-4.25 Lacs PA,Education,2-5,2,5,3.0,4.25,True,3.625,17.0,2024-11-07,23.0,Entry,False,False
admission counsellor,Podar Education Network,Hassan,2-5 Yrs,Admission CounsellingStudent CounselingEducational MarketingSocial Media MarketingEducation CounselingSocial mediaAdmissionsEducation,1-4 Lacs PA,Education,2-5,2,5,1.0,4.0,True,2.5,17.0,2024-11-07,23.0,Entry,False,False
admission counsellor,Podar Education Network,Davangere,2-5 Yrs,Admission CounsellingStudent CounselingEducational MarketingSocial Media MarketingEducation CounselingSocial mediaAdmissionsEducation,1-4 Lacs PA,Education,2-5,2,5,1.0,4.0,True,2.5,17.0,2024-11-07,23.0,Entry,False,False
admission counsellor,Podar Education Network,Shimoga,2-5 Yrs,Admission CounsellingStudent CounselingEducational MarketingSocial Media MarketingEducation CounselingSocial mediaAdmissionsEducation,1-4 Lacs PA,Education,2-5,2,5,1.0,4.0,True,2.5,17.0,2024-11-07,23.0,Entry,False,False
